time,win_prob
0.0,0.5013888888888889
0.0,0.4955052777777778
16.0,0.5077711111111111
31.0,0.4987961111111111
32.0,0.4947075
32.0,0.4947075
49.0,0.5040813888888889
50.0,0.5083694444444444
56.0,0.4985966666666667
57.000000000000455,0.49430861111111113
67.0,0.4793502777777778
88.0,0.46927833333333335
90.0,0.4793502777777778
91.0,0.49390972222222224
102.00000000000045,0.5044802777777778
103.0,0.5091672222222223
108.0,0.5093666666666667
116.0,0.4981977777777778
117.0,0.4931119444444445
126.99999999999955,0.5047794444444444
128.0,0.5100647222222223
145.00000000000045,0.5211338888888889
164.0,0.5114608333333334
192.00000000000045,0.5353941666666667
205.0,0.5487569444444444
206.0,0.5542416666666667
211.0,0.5714936111111112
229.0,0.5876486111111111
230.0,0.5746847222222222
239.0,0.5593275
246.0,0.5772775
264.0,0.5795711111111111
264.0,0.5986180555555556
280.00000000000045,0.5868508333333333
281.0,0.600213611111111
281.0,0.6129780555555555
293.0,0.6328227777777778
297.0,0.6200583333333334
298.0,0.6332216666666667
298.0,0.6461855555555556
299.0,0.6605455555555555
302.99999999999955,0.6768002777777777
313.0,0.6771991666666667
323.00000000000045,0.6624402777777778
341.0,0.6534652777777777
341.0,0.6488780555555556
343.0,0.6640358333333334
345.99999999999955,0.6538641666666667
347.0,0.6493766666666667
351.99999999999955,0.6603461111111111
353.0,0.6649333333333334
358.0,0.6731105555555555
358.0,0.6620413888888889
358.0,0.6522686111111111
358.0,0.6502741666666667
367.0,0.6455872222222222
367.0,0.6420969444444444
367.0,0.639205
379.0,0.6527672222222223
390.99999999999955,0.6692213888888889
394.99999999999955,0.6842794444444444
415.00000000000045,0.6961463888888889
417.00000000000045,0.687271111111111
417.00000000000045,0.6729111111111111
433.0,0.6656313888888888
433.0,0.6751050000000001
433.0,0.6751050000000001
439.99999999999955,0.666628611111111
441.0,0.6626397222222222
448.0,0.6731105555555555
449.0,0.6637366666666666
450.0,0.6734097222222223
451.0,0.6639361111111112
451.0,0.6550608333333333
451.0,0.666528888888889
451.0,0.6635372222222221
467.0,0.6545622222222222
468.0,0.6655316666666666
469.0,0.6735094444444444
469.0,0.6769997222222223
469.0,0.6798916666666668
480.0,0.6737088888888888
480.0,0.6701188888888889
480.0,0.6669277777777778
489.0,0.6756036111111111
489.0,0.664335
489.0,0.6677255555555555
502.0,0.6520691666666667
514.0,0.6398033333333334
515.0,0.6341191666666667
527.9999999999995,0.6477811111111111
529.0,0.6345180555555555
535.0,0.6166677777777778
552.0000000000005,0.6030058333333334
554.0000000000005,0.5968230555555556
570.0,0.57638
593.0000000000005,0.5976208333333334
614.0,0.5873494444444445
614.0,0.582263611111111
614.0,0.5777761111111112
628.0,0.5621197222222222
629.0,0.555238888888889
650.0,0.5364911111111111
666.9999999999995,0.5182419444444445
668.0,0.5100647222222223
691.0,0.5291116666666668
692.0,0.5110619444444444
695.0,0.5291116666666668
696.0,0.5369897222222222
716.0,0.5165466666666666
716.0,0.5303083333333334
719.0,0.5662083333333333
720.0,0.5701972222222221
720.0,0.5688011111111111
720.0,0.5697983333333333
720.0,0.5697983333333333
743.0,0.5640144444444444
744.0,0.5773772222222223
744.0,0.5580311111111111
766.0,0.570995
767.0,0.5771777777777778
767.0,0.5771777777777778
786.0,0.5618205555555555
786.0,0.555238888888889
796.0,0.5698980555555555
797.0,0.5764797222222222
811.0,0.5613219444444445
812.0,0.5766791666666666
814.0,0.5614216666666667
814.0,0.5546405555555556
831.0,0.5361919444444445
849.9999999999998,0.555238888888889
869.9999999999998,0.5444688888888889
869.9999999999998,0.5394827777777778
869.9999999999998,0.5529452777777777
869.9999999999998,0.5558372222222222
884.0,0.5348955555555556
901.0000000000002,0.5493552777777778
902.0,0.5556377777777778
922.0,0.5779755555555556
922.0,0.5953272222222221
922.0,0.6000141666666666
943.0,0.578673611111111
955.0000000000002,0.5644133333333333
956.0000000000002,0.5795711111111111
957.0000000000002,0.5645130555555556
958.0,0.5797705555555556
959.0000000000002,0.5646127777777779
959.0000000000002,0.5797705555555556
959.0000000000002,0.5748841666666666
959.0000000000002,0.5794713888888889
962.0000000000005,0.5865516666666667
962.0000000000005,0.6026069444444444
965.0,0.6472825
978.9999999999998,0.6273380555555554
994.0,0.6485788888888888
1012.0,0.6301302777777777
1026.9999999999998,0.6509722222222222
1040.0000000000002,0.6081913888888888
1057.0,0.5820641666666666
1059.0,0.5821638888888888
1072.0,0.6017094444444445
1072.0,0.6100861111111111
1088.9999999999998,0.5918369444444445
1090.0,0.5835600000000001
1099.0,0.5414772222222223
1113.0,0.5847566666666667
1140.0,0.6041027777777778
1141.0,0.6120805555555555
1147.0,0.6619416666666667
1163.0000000000002,0.6807891666666666
1164.0,0.6633377777777778
1164.9999999999998,0.6809886111111111
1166.9999999999998,0.6636369444444443
1170.0,0.6125791666666667
1182.0,0.5873494444444445
1187.0,0.5872497222222222
1195.0,0.6048008333333333
1196.0,0.6126788888888889
1209.0,0.6641355555555555
1230.0,0.6115819444444445
1243.0000000000002,0.5927344444444445
1244.0,0.5844575000000001
1253.0000000000002,0.6031055555555556
1254.0,0.6113824999999999
1270.0,0.5927344444444445
1271.0000000000002,0.5844575000000001
1279.0,0.5397819444444444
1296.0000000000002,0.5501530555555556
1296.0000000000002,0.5324025
1296.0000000000002,0.5373886111111111
1318.0,0.5629175
1328.0,0.5375880555555556
1341.0000000000002,0.5154497222222223
1353.0000000000002,0.48742777777777774
1365.0,0.5067738888888889
1368.0,0.5152502777777778
1378.0000000000002,0.5643136111111111
